Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004
Annual percent change,W578PCPI%,THAILAND,Inflation,-0.1,0.4,4.9,15.5,24.3,5.3,4.1,7.6,7.9,9.9,19.7,12.7,4.5,4.7,0.6,2.4,1.9,2.5,3.9,5.5,6.0,5.7,4.2,3.3,5.1,5.8,5.9,5.6,8.1,0.3,1.6,1.7,0.6,1.7,0.9
Annual percent change,W742PCPI%,TOGO,Inflation,4.5,6.5,7.7,3.6,12.8,18.0,11.6,22.5,1.4,7.5,12.3,10.0,10.3,9.7,-3.7,-1.9,4.1,2.5,1.0,2.0,1.5,5.0,-2.1,2.4,48.5,6.4,2.5,5.5,-1.4,4.5,-2.5,6.8,4.8,4.3,2.5
Annual percent change,W866PCPI%,TONGA,Inflation,0.0,0.0,0.0,0.0,0.0,0.0,11.7,17.5,9.6,5.5,-7.3,14.9,10.9,9.7,7.9,5.2,29.9,7.7,10.3,4.0,5.6,13.5,8.7,3.1,2.4,-0.5,2.7,2.0,3.0,3.9,5.3,7.0,3.5,3.1,3.2
Annual percent change,W369PCPI%,TRINIDAD AND TOBAGO,Inflation,2.5,3.5,9.3,14.8,22.0,17.0,10.6,11.1,10.6,14.4,17.5,14.5,11.4,16.8,13.3,7.7,7.7,13.4,12.1,4.6,11.0,3.8,6.5,13.1,3.7,5.3,3.3,3.6,5.6,3.4,5.6,2.5,3.8,3.5,3.1
Annual percent change,W744PCPI%,TUNISIA,Inflation,1.1,6.0,1.9,4.7,4.1,9.5,5.4,6.7,5.2,7.8,10.0,8.9,13.7,9.0,8.6,7.6,6.2,8.2,7.2,7.7,6.5,7.7,5.5,4.0,5.4,6.2,3.7,3.7,3.1,2.7,3.0,1.9,3.1,3.3,2.9
Annual percent change,W186PCPI%,TURKEY,Inflation,6.9,15.7,11.7,15.4,15.8,19.2,17.4,23.0,53.2,61.8,110.2,36.6,30.8,31.4,48.4,45.0,34.6,38.8,73.7,63.3,60.3,66.0,70.1,66.1,106.2,93.6,82.3,85.7,84.6,64.9,54.9,54.4,45.0,24.7,14.5
Annual percent change,W925PCPI%,TURKMENISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,492.9,3102.4,1748.3,1005.2,992.4,83.7,16.8,23.5,8.0,11.6,n.a.,n.a.,n.a.
Annual percent change,W746PCPI%,UGANDA,Inflation,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,49.4,95.0,99.2,100.0,100.0,150.0,16.7,100.0,143.8,215.4,166.7,130.8,45.4,20.8,42.2,30.0,6.5,6.1,7.5,7.8,5.8,-0.2,6.3,4.5,-2.0,1.0,3.5
Annual percent change,W926PCPI%,UKRAINE,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.2,91.2,1210.0,4734.9,891.2,376.4,80.2,15.9,10.6,22.7,28.2,12.0,0.8,5.0,5.0
Annual percent change,W466PCPI%,UNITED ARAB EMIRATES,Inflation,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,13.0,11.0,10.1,7.9,7.1,1.3,2.4,3.5,5.4,5.5,5.0,2.8,0.6,5.5,4.3,5.2,5.7,4.4,3.0,2.9,2.0,2.1,1.4,2.2,2.8,2.9,2.1
Annual percent change,W112PCPI%,UNITED KINGDOM,Inflation,6.4,9.5,7.1,9.2,15.9,24.3,16.7,15.8,6.6,12.6,16.8,12.2,8.5,5.2,4.4,5.2,3.6,4.1,4.6,5.9,8.1,6.8,4.7,3.0,2.4,2.8,3.0,2.8,2.7,2.3,2.1,2.1,2.2,2.8,2.7
Annual percent change,W111PCPI%,UNITED STATES,Inflation,5.9,4.2,3.3,6.3,11.0,9.1,5.8,6.5,7.6,11.3,13.5,10.4,4.0,5.3,4.4,3.5,1.9,3.6,4.1,4.8,5.4,4.2,3.0,3.0,2.6,2.8,2.9,2.3,1.5,2.2,3.4,2.8,1.6,2.3,2.3
Annual percent change,W298PCPI%,URUGUAY,Inflation,17.0,24.0,76.5,97.0,77.2,84.9,53.5,61.1,47.3,66.8,63.5,34.0,19.0,48.9,54.6,71.7,76.9,64.1,61.6,79.8,110.0,105.9,69.7,54.3,45.0,42.6,28.6,19.8,9.6,5.7,4.8,4.4,14.0,27.9,21.2
Annual percent change,W927PCPI%,UZBEKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.0,109.7,645.2,534.2,1568.3,304.6,54.0,70.9,16.7,44.6,50.7,48.9,38.8,21.1,11.6
Annual percent change,W846PCPI%,VANUATU,Inflation,5.7,4.5,6.0,13.0,17.1,7.0,0.3,4.7,6.7,3.4,11.2,26.8,6.7,1.7,5.5,1.1,4.8,16.0,8.8,7.7,4.8,6.5,4.1,3.6,2.3,2.2,0.9,2.8,3.3,2.2,2.5,3.7,2.2,4.0,3.2
Annual percent change,W299PCPI%,VENEZUELA,Inflation,2.5,3.2,2.8,4.1,8.3,10.3,7.6,7.8,7.0,12.5,21.4,16.2,9.6,6.2,12.2,11.3,11.6,28.2,29.4,84.5,40.7,34.2,31.4,38.1,60.8,59.9,99.9,50.0,35.8,23.6,16.2,12.5,22.4,37.5,40.9
Annual percent change,W582PCPI%,VIETNAM,Inflation,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.1,4.0,25.2,69.6,95.4,49.5,64.9,91.6,453.5,360.4,374.4,95.8,36.0,81.8,37.7,8.4,9.5,16.9,5.7,3.2,7.7,4.2,-1.6,-0.4,4.0,3.8,3.3
Annual percent change,W474PCPI%,"YEMEN, REPUBLIC OF",Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,33.5,44.9,50.6,62.4,71.3,62.5,40.0,4.6,11.5,8.0,10.9,11.9,12.2,9.0,6.1
Annual percent change,W754PCPI%,ZAMBIA,Inflation,2.6,6.0,5.1,6.5,8.1,10.1,18.8,19.8,16.4,9.7,11.7,14.0,12.5,19.7,20.0,37.4,54.8,47.0,54.0,128.3,109.6,97.7,165.7,183.3,54.6,34.9,43.1,24.4,24.5,26.8,26.1,21.7,22.2,18.4,5.2
Annual percent change,W698PCPI%,ZIMBABWE,Inflation,2.1,3.0,2.8,3.1,6.6,10.0,11.0,10.3,8.2,12.6,-68.0,13.2,10.4,23.2,20.3,8.3,14.5,12.5,7.4,12.8,17.4,23.3,42.1,27.6,22.2,22.6,21.5,18.8,31.7,58.2,55.9,76.7,140.0,450.0,350.0
